"dd.long","dd.lat"
"433",18.375,39.6
"434",18.3,39.575
"435",18.175,39.55
"436",18.05,39.4
"437",17.95,39.4
"438",17.875,39.4
"439",17.725,39.375
"440",17.625,39.35
"441",17.6,39.35
"442",17.55,39.325
"443",17.5,39.3
"444",17.425,39.225
"445",17.4,39.175
"446",17.375,39.15
"447",17.375,39.1
"448",17.375,39.05
"449",17.325,38.95
"450",17.3,38.875
"451",17.25,38.825
"452",17.175,38.775
"453",17.15,38.725
"454",17.125,38.65
"455",17.125,38.6
"456",17.1,38.575
"457",17.1,38.5
"458",17.075,38.475
"459",17.05,38.425
"460",17.025,38.375
"461",17,38.35
"462",16.975,38.325
"463",16.925,38.275
"464",16.875,38.275
"465",16.85,38.275
"466",16.8,38.275
"467",16.75,38.275
"468",16.725,38.3
"469",16.675,38.3
"470",17.125,41.85
"471",17.15,41.85
"472",17.175,41.825
"473",17.2,41.825
"474",17.25,41.825
"475",17.3,41.825
"476",17.325,41.825
"477",17.375,41.8
"478",17.375,41.775
"479",17.4,41.75
"480",17.45,41.725
"481",17.5,41.725
"482",17.525,41.7
"483",17.575,41.7
"484",17.625,41.725
"485",17.625,41.7
"486",17.675,41.725
"487",17.75,41.7
"488",17.825,41.7
"489",17.875,41.7
"490",17.925,41.7
"491",17.95,41.7
"492",18.2,41.675
"493",18.35,41.65
"494",18.425,41.65
"495",18.475,41.625
"496",18.5,41.625
"497",18.525,41.625
"498",18.55,41.6
"499",18.3,41.65
"500",18.225,41.65
"501",18.15,41.675
"502",18.125,41.65
"503",18.075,41.65
"504",18.05,41.65
"505",18,41.625
"506",18.125,41.675
"507",18.275,41.675
"508",18.325,41.675
"509",18.375,41.725
"510",18.4,41.775
"511",18.425,41.825
"512",18.45,41.8
"513",18.375,41.75
"514",17.925,41.6
"515",17.875,41.6
"516",17.925,41.575
"517",17.95,41.575
"518",18.025,41.5
"519",18.05,41.45
"520",18.075,41.425
"521",18.1,41.4
"522",18.125,41.4
"523",18.275,41.35
"524",18.325,41.35
"525",18.325,41.325
"526",18.375,41.325
"527",18.4,41.3
"528",18.5,41.325
"529",18.6,41.35
"530",18.55,41.35
"531",18.575,41.375
"532",18.625,41.475
"533",18.6,41.5
"534",18.575,41.55
"535",18.375,41.825
"536",18.375,41.85
"537",18.375,41.875
"538",18.35,41.85
"539",18.25,41.85
"540",18.125,41.875
"541",18.4,41.9
"542",18.6,41.875
"543",18.625,41.875
"544",18.65,41.925
"545",18.625,41.925
