"species","dd long","dd lat","maturity"
"Prionace glauca",18.4,42.075,"Adult"
"Prionace glauca",18.35,42.05,"Adult"
"Prionace glauca",18.325,42.05,"Adult"
"Prionace glauca",18.3,42.025,"Adult"
"Prionace glauca",18.3,42.025,"Adult"
"Prionace glauca",18.3,42.025,"Adult"
"Prionace glauca",18.3,42.025,"Adult"
"Prionace glauca",18.275,42.05,"Adult"
"Prionace glauca",18.275,42.05,"Adult"
"Prionace glauca",18.275,42.05,"Adult"
"Prionace glauca",18.3,42.05,"Adult"
"Prionace glauca",18.3,42.05,"Adult"
"Prionace glauca",18.3,42.05,"Adult"
"Prionace glauca",18.3,42.05,"Adult"
"Prionace glauca",18.3,42.05,"Adult"
"Prionace glauca",18.325,42.05,"Adult"
"Prionace glauca",18.375,42.075,"Adult"
"Prionace glauca",18.375,42.075,"Adult"
"Prionace glauca",18.375,42.075,"Adult"
"Prionace glauca",18.35,42.075,"Adult"
"Prionace glauca",18.35,42.075,"Adult"
"Prionace glauca",18.325,42.075,"Adult"
"Prionace glauca",18.3,42.025,"Adult"
"Prionace glauca",18.275,41.975,"Adult"
"Prionace glauca",18.275,41.975,"Adult"
"Prionace glauca",18.275,41.975,"Adult"
"Prionace glauca",18.175,42,"Adult"
"Prionace glauca",18.175,42,"Adult"
"Prionace glauca",18.125,41.95,"Adult"
"Prionace glauca",18.05,41.875,"Adult"
"Prionace glauca",17.95,41.85,"Adult"
"Prionace glauca",17.85,41.825,"Adult"
"Prionace glauca",17.85,41.825,"Adult"
"Prionace glauca",17.825,41.825,"Adult"
"Prionace glauca",17.825,41.825,"Adult"
"Prionace glauca",17.825,41.825,"Adult"
"Prionace glauca",17.8,41.8,"Adult"
"Prionace glauca",17.75,41.725,"Adult"
"Prionace glauca",17.725,41.725,"Adult"
"Prionace glauca",17.725,41.725,"Adult"
"Prionace glauca",17.7,41.725,"Adult"
"Prionace glauca",17.7,41.725,"Adult"
"Prionace glauca",17.7,41.7,"Adult"
"Prionace glauca",17.675,41.675,"Adult"
"Prionace glauca",17.65,41.65,"Adult"
"Prionace glauca",17.65,41.65,"Adult"
"Prionace glauca",17.65,41.65,"Adult"
"Prionace glauca",17.65,41.65,"Adult"
"Prionace glauca",17.65,41.65,"Adult"
"Prionace glauca",17.65,41.65,"Adult"
"Prionace glauca",17.625,41.65,"Adult"
"Prionace glauca",17.625,41.65,"Adult"
"Prionace glauca",17.625,41.65,"Adult"
"Prionace glauca",17.625,41.65,"Adult"
"Prionace glauca",17.625,41.65,"Adult"
"Prionace glauca",17.625,41.65,"Adult"
"Prionace glauca",17.625,41.625,"Adult"
"Prionace glauca",17.65,41.625,"Adult"
"Prionace glauca",17.65,41.625,"Adult"
"Prionace glauca",17.65,41.625,"Adult"
"Prionace glauca",17.65,41.625,"Adult"
"Prionace glauca",17.65,41.625,"Adult"
"Prionace glauca",17.65,41.625,"Adult"
"Prionace glauca",17.675,41.65,"Adult"
